[[2025-10-11 01:46:30]] Starting training on model: model_[33, 256, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss
[[2025-10-11 01:46:30]] Epoch 1/300, Validation Loss: 0.1668
[[2025-10-11 01:46:30]] Epoch 2/300, Validation Loss: 0.1668
[[2025-10-11 01:46:31]] Epoch 3/300, Validation Loss: 0.1668
[[2025-10-11 01:46:31]] Epoch 4/300, Validation Loss: 0.1668
[[2025-10-11 01:46:31]] Epoch 5/300, Validation Loss: 0.1668
[[2025-10-11 01:46:31]] Epoch 6/300, Validation Loss: 0.1668
[[2025-10-11 01:46:31]] Epoch 7/300, Validation Loss: 0.1668
[[2025-10-11 01:46:31]] Epoch 8/300, Validation Loss: 0.1668
[[2025-10-11 01:46:31]] Epoch 9/300, Validation Loss: 0.1668
[[2025-10-11 01:46:32]] Epoch 10/300, Validation Loss: 0.1668
[[2025-10-11 01:46:32]] Epoch 11/300, Validation Loss: 0.1668
[[2025-10-11 01:46:32]] Epoch 12/300, Validation Loss: 0.1668
[[2025-10-11 01:46:32]] Epoch 13/300, Validation Loss: 0.1668
[[2025-10-11 01:46:32]] Epoch 14/300, Validation Loss: 0.1668
[[2025-10-11 01:46:32]] Epoch 15/300, Validation Loss: 0.1668
[[2025-10-11 01:46:32]] Epoch 16/300, Validation Loss: 0.1668
[[2025-10-11 01:46:32]] Epoch 17/300, Validation Loss: 0.1668
[[2025-10-11 01:46:32]] Epoch 18/300, Validation Loss: 0.1668
[[2025-10-11 01:46:33]] Epoch 19/300, Validation Loss: 0.1668
[[2025-10-11 01:46:33]] Epoch 20/300, Validation Loss: 0.1668
[[2025-10-11 01:46:33]] Epoch 21/300, Validation Loss: 0.1668
[[2025-10-11 01:46:33]] Epoch 22/300, Validation Loss: 0.1668
[[2025-10-11 01:46:33]] Epoch 23/300, Validation Loss: 0.1668
[[2025-10-11 01:46:33]] Epoch 24/300, Validation Loss: 0.1668
[[2025-10-11 01:46:33]] Epoch 25/300, Validation Loss: 0.1668
[[2025-10-11 01:46:33]] Epoch 26/300, Validation Loss: 0.1668
[[2025-10-11 01:46:33]] Epoch 27/300, Validation Loss: 0.1668
[[2025-10-11 01:46:33]] Epoch 28/300, Validation Loss: 0.1668
[[2025-10-11 01:46:33]] Epoch 29/300, Validation Loss: 0.1668
[[2025-10-11 01:46:34]] Epoch 30/300, Validation Loss: 0.1668
[[2025-10-11 01:46:34]] Epoch 31/300, Validation Loss: 0.1668
[[2025-10-11 01:46:34]] Epoch 32/300, Validation Loss: 0.1668
[[2025-10-11 01:46:34]] Epoch 33/300, Validation Loss: 0.1668
[[2025-10-11 01:46:34]] Epoch 34/300, Validation Loss: 0.1668
[[2025-10-11 01:46:34]] Epoch 35/300, Validation Loss: 0.1668
[[2025-10-11 01:46:34]] Epoch 36/300, Validation Loss: 0.1668
[[2025-10-11 01:46:34]] Epoch 37/300, Validation Loss: 0.1668
[[2025-10-11 01:46:34]] Epoch 38/300, Validation Loss: 0.1668
[[2025-10-11 01:46:34]] Epoch 39/300, Validation Loss: 0.1668
[[2025-10-11 01:46:35]] Epoch 40/300, Validation Loss: 0.1668
[[2025-10-11 01:46:35]] Epoch 41/300, Validation Loss: 0.1668
[[2025-10-11 01:46:35]] Epoch 42/300, Validation Loss: 0.1668
[[2025-10-11 01:46:35]] Epoch 43/300, Validation Loss: 0.1668
[[2025-10-11 01:46:35]] Epoch 44/300, Validation Loss: 0.1668
[[2025-10-11 01:46:35]] Epoch 45/300, Validation Loss: 0.1668
[[2025-10-11 01:46:35]] Epoch 46/300, Validation Loss: 0.1668
[[2025-10-11 01:46:35]] Epoch 47/300, Validation Loss: 0.1668
[[2025-10-11 01:46:35]] Epoch 48/300, Validation Loss: 0.1668
[[2025-10-11 01:46:35]] Epoch 49/300, Validation Loss: 0.1668
[[2025-10-11 01:46:36]] Epoch 50/300, Validation Loss: 0.1668
[[2025-10-11 01:46:36]] Epoch 51/300, Validation Loss: 0.1668
[[2025-10-11 01:46:36]] Early stopping at epoch 51/300
