[[2025-10-11 15:48:23]] Starting training on model: model_[33, 16, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss
[[2025-10-11 15:48:26]] Epoch 1/300, Validation Loss: 0.0142
[[2025-10-11 15:48:29]] Epoch 2/300, Validation Loss: 0.0153
[[2025-10-11 15:48:31]] Epoch 3/300, Validation Loss: 0.0142
[[2025-10-11 15:48:33]] Epoch 4/300, Validation Loss: 0.0184
[[2025-10-11 15:48:36]] Epoch 5/300, Validation Loss: 0.0139
[[2025-10-11 15:48:38]] Epoch 6/300, Validation Loss: 0.0150
[[2025-10-11 15:48:41]] Epoch 7/300, Validation Loss: 0.0138
[[2025-10-11 15:48:43]] Epoch 8/300, Validation Loss: 0.0141
[[2025-10-11 15:48:45]] Epoch 9/300, Validation Loss: 0.0150
[[2025-10-11 15:48:48]] Epoch 10/300, Validation Loss: 0.0156
[[2025-10-11 15:48:50]] Epoch 11/300, Validation Loss: 0.0146
[[2025-10-11 15:48:53]] Epoch 12/300, Validation Loss: 0.0141
[[2025-10-11 15:48:55]] Epoch 13/300, Validation Loss: 0.0165
[[2025-10-11 15:48:58]] Epoch 14/300, Validation Loss: 0.0166
[[2025-10-11 15:49:01]] Epoch 15/300, Validation Loss: 0.0158
[[2025-10-11 15:49:03]] Epoch 16/300, Validation Loss: 0.0142
[[2025-10-11 15:49:06]] Epoch 17/300, Validation Loss: 0.0139
[[2025-10-11 15:49:08]] Epoch 18/300, Validation Loss: 0.0190
[[2025-10-11 15:49:11]] Epoch 19/300, Validation Loss: 0.0164
[[2025-10-11 15:49:13]] Epoch 20/300, Validation Loss: 0.0161
[[2025-10-11 15:49:16]] Epoch 21/300, Validation Loss: 0.0153
[[2025-10-11 15:49:18]] Epoch 22/300, Validation Loss: 0.0148
[[2025-10-11 15:49:21]] Epoch 23/300, Validation Loss: 0.0154
[[2025-10-11 15:49:23]] Epoch 24/300, Validation Loss: 0.0141
[[2025-10-11 15:49:26]] Epoch 25/300, Validation Loss: 0.0150
[[2025-10-11 15:49:28]] Epoch 26/300, Validation Loss: 0.0154
[[2025-10-11 15:49:30]] Epoch 27/300, Validation Loss: 0.0146
[[2025-10-11 15:49:33]] Epoch 28/300, Validation Loss: 0.0154
[[2025-10-11 15:49:36]] Epoch 29/300, Validation Loss: 0.0145
[[2025-10-11 15:49:38]] Epoch 30/300, Validation Loss: 0.0142
[[2025-10-11 15:49:41]] Epoch 31/300, Validation Loss: 0.0146
[[2025-10-11 15:49:44]] Epoch 32/300, Validation Loss: 0.0189
[[2025-10-11 15:49:46]] Epoch 33/300, Validation Loss: 0.0144
[[2025-10-11 15:49:48]] Epoch 34/300, Validation Loss: 0.0142
[[2025-10-11 15:49:51]] Epoch 35/300, Validation Loss: 0.0163
[[2025-10-11 15:49:53]] Epoch 36/300, Validation Loss: 0.0142
[[2025-10-11 15:49:56]] Epoch 37/300, Validation Loss: 0.0151
[[2025-10-11 15:49:59]] Epoch 38/300, Validation Loss: 0.0175
[[2025-10-11 15:50:01]] Epoch 39/300, Validation Loss: 0.0150
[[2025-10-11 15:50:04]] Epoch 40/300, Validation Loss: 0.0204
[[2025-10-11 15:50:06]] Epoch 41/300, Validation Loss: 0.0143
[[2025-10-11 15:50:09]] Epoch 42/300, Validation Loss: 0.0145
[[2025-10-11 15:50:11]] Epoch 43/300, Validation Loss: 0.0143
[[2025-10-11 15:50:14]] Epoch 44/300, Validation Loss: 0.0148
[[2025-10-11 15:50:16]] Epoch 45/300, Validation Loss: 0.0158
[[2025-10-11 15:50:19]] Epoch 46/300, Validation Loss: 0.0140
[[2025-10-11 15:50:21]] Epoch 47/300, Validation Loss: 0.0144
[[2025-10-11 15:50:24]] Epoch 48/300, Validation Loss: 0.0150
[[2025-10-11 15:50:27]] Epoch 49/300, Validation Loss: 0.0158
[[2025-10-11 15:50:29]] Epoch 50/300, Validation Loss: 0.0156
[[2025-10-11 15:50:32]] Epoch 51/300, Validation Loss: 0.0168
[[2025-10-11 15:50:34]] Epoch 52/300, Validation Loss: 0.0149
[[2025-10-11 15:50:37]] Epoch 53/300, Validation Loss: 0.0140
[[2025-10-11 15:50:39]] Epoch 54/300, Validation Loss: 0.0159
[[2025-10-11 15:50:42]] Epoch 55/300, Validation Loss: 0.0144
[[2025-10-11 15:50:44]] Epoch 56/300, Validation Loss: 0.0143
[[2025-10-11 15:50:47]] Epoch 57/300, Validation Loss: 0.0159
[[2025-10-11 15:50:47]] Early stopping at epoch 57/300
