[[2025-10-11 02:17:31]] Starting training on model: model_[33, 32, 16, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss
[[2025-10-11 02:17:31]] Epoch 1/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:31]] Epoch 2/3000, Validation Loss: 0.0130
[[2025-10-11 02:17:31]] Epoch 3/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:31]] Epoch 4/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:31]] Epoch 5/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:31]] Epoch 6/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:31]] Epoch 7/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:31]] Epoch 8/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:31]] Epoch 9/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:31]] Epoch 10/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:31]] Epoch 11/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:32]] Epoch 12/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:32]] Epoch 13/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:32]] Epoch 14/3000, Validation Loss: 0.0132
[[2025-10-11 02:17:32]] Epoch 15/3000, Validation Loss: 0.0131
[[2025-10-11 02:17:32]] Epoch 16/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:32]] Epoch 17/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:32]] Epoch 18/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:32]] Epoch 19/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:32]] Epoch 20/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:32]] Epoch 21/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:32]] Epoch 22/3000, Validation Loss: 0.0132
[[2025-10-11 02:17:32]] Epoch 23/3000, Validation Loss: 0.0130
[[2025-10-11 02:17:32]] Epoch 24/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:32]] Epoch 25/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:33]] Epoch 26/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:33]] Epoch 27/3000, Validation Loss: 0.0131
[[2025-10-11 02:17:33]] Epoch 28/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:33]] Epoch 29/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:33]] Epoch 30/3000, Validation Loss: 0.0131
[[2025-10-11 02:17:33]] Epoch 31/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:33]] Epoch 32/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:33]] Epoch 33/3000, Validation Loss: 0.0131
[[2025-10-11 02:17:33]] Epoch 34/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:33]] Epoch 35/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:33]] Epoch 36/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:33]] Epoch 37/3000, Validation Loss: 0.0135
[[2025-10-11 02:17:33]] Epoch 38/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:34]] Epoch 39/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:34]] Epoch 40/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:34]] Epoch 41/3000, Validation Loss: 0.0130
[[2025-10-11 02:17:34]] Epoch 42/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:34]] Epoch 43/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:34]] Epoch 44/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:34]] Epoch 45/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:34]] Epoch 46/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:34]] Epoch 47/3000, Validation Loss: 0.0131
[[2025-10-11 02:17:34]] Epoch 48/3000, Validation Loss: 0.0131
[[2025-10-11 02:17:34]] Epoch 49/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:34]] Epoch 50/3000, Validation Loss: 0.0132
[[2025-10-11 02:17:34]] Epoch 51/3000, Validation Loss: 0.0130
[[2025-10-11 02:17:35]] Epoch 52/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:35]] Epoch 53/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:35]] Epoch 54/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:35]] Epoch 55/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:35]] Epoch 56/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:35]] Epoch 57/3000, Validation Loss: 0.0133
[[2025-10-11 02:17:35]] Epoch 58/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:35]] Epoch 59/3000, Validation Loss: 0.0131
[[2025-10-11 02:17:35]] Epoch 60/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:35]] Epoch 61/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:35]] Epoch 62/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:35]] Epoch 63/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:35]] Epoch 64/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:35]] Epoch 65/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:36]] Epoch 66/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:36]] Epoch 67/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:36]] Epoch 68/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:36]] Epoch 69/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:36]] Epoch 70/3000, Validation Loss: 0.0132
[[2025-10-11 02:17:36]] Epoch 71/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:36]] Epoch 72/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:36]] Epoch 73/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:36]] Epoch 74/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:36]] Epoch 75/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:36]] Epoch 76/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:36]] Epoch 77/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:36]] Epoch 78/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:36]] Epoch 79/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:36]] Epoch 80/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:37]] Epoch 81/3000, Validation Loss: 0.0131
[[2025-10-11 02:17:37]] Epoch 82/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:37]] Epoch 83/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:37]] Epoch 84/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:37]] Epoch 85/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:37]] Epoch 86/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:37]] Epoch 87/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:37]] Epoch 88/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:37]] Epoch 89/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:37]] Epoch 90/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:37]] Epoch 91/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:37]] Epoch 92/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:37]] Epoch 93/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:38]] Epoch 94/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:38]] Epoch 95/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:38]] Epoch 96/3000, Validation Loss: 0.0132
[[2025-10-11 02:17:38]] Epoch 97/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:38]] Epoch 98/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:38]] Epoch 99/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:38]] Epoch 100/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:38]] Epoch 101/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:38]] Epoch 102/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:38]] Epoch 103/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:38]] Epoch 104/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:38]] Epoch 105/3000, Validation Loss: 0.0131
[[2025-10-11 02:17:38]] Epoch 106/3000, Validation Loss: 0.0129
[[2025-10-11 02:17:39]] Epoch 107/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:39]] Epoch 108/3000, Validation Loss: 0.0127
[[2025-10-11 02:17:39]] Epoch 109/3000, Validation Loss: 0.0128
[[2025-10-11 02:17:39]] Epoch 110/3000, Validation Loss: 0.0133
